"Stadtteil","Jahr","Haupt-/Werkrealschule %"
"Innenstadt-Ost","2010",45.6
"Innenstadt-Ost","2011",51.0
"Innenstadt-Ost","2012",33.8
"Innenstadt-Ost","2013",24.4
"Innenstadt-Ost","2014",26.2
"Innenstadt-Ost","2015",13.0
"Innenstadt-Ost","2016",16.4
"Innenstadt-Ost","2017",9.1
"Innenstadt-Ost","2018",8.3
"Innenstadt-Ost","2019",5.9
"Innenstadt-Ost","2020",12.2
"Innenstadt-Ost","2021",0.0
"Innenstadt-West","2010",21.6
"Innenstadt-West","2011",20.2
"Innenstadt-West","2012",16.7
"Innenstadt-West","2013",6.8
"Innenstadt-West","2014",5.7
"Innenstadt-West","2015",2.0
"Innenstadt-West","2016",7.8
"Innenstadt-West","2017",9.0
"Innenstadt-West","2018",6.9
"Innenstadt-West","2019",1.8
"Innenstadt-West","2020",5.7
"Innenstadt-West","2021",6.0
"Südstadt","2010",38.4
"Südstadt","2011",30.2
"Südstadt","2012",18.0
"Südstadt","2013",1.8
"Südstadt","2014",6.9
"Südstadt","2015",5.2
"Südstadt","2016",7.5
"Südstadt","2017",1.3
"Südstadt","2018",1.6
"Südstadt","2019",0.0
"Südstadt","2020",3.5
"Südstadt","2021",0.0
"Südweststadt","2010",6.1
"Südweststadt","2011",5.1
"Südweststadt","2012",4.5
"Südweststadt","2013",1.0
"Südweststadt","2014",1.0
"Südweststadt","2015",2.4
"Südweststadt","2016",3.9
"Südweststadt","2017",3.3
"Südweststadt","2018",0.0
"Südweststadt","2019",1.6
"Südweststadt","2020",0.0
"Südweststadt","2021",0.0
"Weststadt","2010",27.3
"Weststadt","2011",31.0
"Weststadt","2012",26.5
"Weststadt","2013",8.6
"Weststadt","2014",12.2
"Weststadt","2015",17.1
"Weststadt","2016",17.9
"Weststadt","2017",14.8
"Weststadt","2018",11.6
"Weststadt","2019",5.4
"Weststadt","2020",9.5
"Weststadt","2021",0.0
"Nordweststadt","2010",19.4
"Nordweststadt","2011",20.3
"Nordweststadt","2012",13.8
"Nordweststadt","2013",10.2
"Nordweststadt","2014",10.6
"Nordweststadt","2015",7.4
"Nordweststadt","2016",12.6
"Nordweststadt","2017",10.1
"Nordweststadt","2018",10.5
"Nordweststadt","2019",9.9
"Nordweststadt","2020",9.6
"Nordweststadt","2021",3.4
"Oststadt","2010",29.6
"Oststadt","2011",27.6
"Oststadt","2012",18.6
"Oststadt","2013",6.5
"Oststadt","2014",6.3
"Oststadt","2015",3.9
"Oststadt","2016",8.1
"Oststadt","2017",10.4
"Oststadt","2018",8.1
"Oststadt","2019",10.2
"Oststadt","2020",7.5
"Oststadt","2021",6.3
"Mühlburg","2010",27.7
"Mühlburg","2011",21.8
"Mühlburg","2012",22.2
"Mühlburg","2013",0.9
"Mühlburg","2014",5.3
"Mühlburg","2015",2.7
"Mühlburg","2016",5.0
"Mühlburg","2017",8.5
"Mühlburg","2018",7.1
"Mühlburg","2019",15.1
"Mühlburg","2020",3.6
"Mühlburg","2021",7.7
"Daxlanden","2010",24.1
"Daxlanden","2011",27.5
"Daxlanden","2012",28.0
"Daxlanden","2013",23.0
"Daxlanden","2014",3.3
"Daxlanden","2015",5.4
"Daxlanden","2016",3.6
"Daxlanden","2017",11.8
"Daxlanden","2018",7.8
"Daxlanden","2019",19.3
"Daxlanden","2020",12.5
"Daxlanden","2021",6.0
"Knielingen","2010",12.9
"Knielingen","2011",0.0
"Knielingen","2012",21.4
"Knielingen","2013",6.0
"Knielingen","2014",7.9
"Knielingen","2015",6.0
"Knielingen","2016",11.4
"Knielingen","2017",1.5
"Knielingen","2018",0.0
"Knielingen","2019",3.1
"Knielingen","2020",4.0
"Knielingen","2021",6.5
"Grünwinkel","2010",18.3
"Grünwinkel","2011",26.5
"Grünwinkel","2012",14.0
"Grünwinkel","2013",14.9
"Grünwinkel","2014",10.9
"Grünwinkel","2015",4.6
"Grünwinkel","2016",2.7
"Grünwinkel","2017",1.6
"Grünwinkel","2018",0.0
"Grünwinkel","2019",4.1
"Grünwinkel","2020",3.3
"Grünwinkel","2021",0.0
"Oberreut","2010",30.8
"Oberreut","2011",41.0
"Oberreut","2012",27.3
"Oberreut","2013",18.8
"Oberreut","2014",0.0
"Oberreut","2015",0.0
"Oberreut","2016",4.2
"Oberreut","2017",0.0
"Oberreut","2018",1.2
"Oberreut","2019",0.0
"Oberreut","2020",0.0
"Oberreut","2021",1.4
"Beiertheim-Bulach","2010",11.3
"Beiertheim-Bulach","2011",1.8
"Beiertheim-Bulach","2012",4.1
"Beiertheim-Bulach","2013",0.0
"Beiertheim-Bulach","2014",7.0
"Beiertheim-Bulach","2015",5.1
"Beiertheim-Bulach","2016",6.4
"Beiertheim-Bulach","2017",2.0
"Beiertheim-Bulach","2018",4.2
"Beiertheim-Bulach","2019",2.0
"Beiertheim-Bulach","2020",4.4
"Beiertheim-Bulach","2021",0.0
"Weiherfeld-Dammerstock","2010",2.4
"Weiherfeld-Dammerstock","2011",5.6
"Weiherfeld-Dammerstock","2012",0.0
"Weiherfeld-Dammerstock","2013",7.3
"Weiherfeld-Dammerstock","2014",0.0
"Weiherfeld-Dammerstock","2015",2.2
"Weiherfeld-Dammerstock","2016",0.0
"Weiherfeld-Dammerstock","2017",0.0
"Weiherfeld-Dammerstock","2018",0.0
"Weiherfeld-Dammerstock","2019",2.6
"Weiherfeld-Dammerstock","2020",0.0
"Weiherfeld-Dammerstock","2021",0.0
"Rüppurr","2010",6.1
"Rüppurr","2011",12.8
"Rüppurr","2012",2.3
"Rüppurr","2013",2.3
"Rüppurr","2014",1.4
"Rüppurr","2015",3.2
"Rüppurr","2016",1.2
"Rüppurr","2017",2.3
"Rüppurr","2018",1.1
"Rüppurr","2019",1.1
"Rüppurr","2020",1.1
"Rüppurr","2021",0.0
"Waldstadt","2010",30.1
"Waldstadt","2011",25.5
"Waldstadt","2012",18.1
"Waldstadt","2013",21.1
"Waldstadt","2014",20.4
"Waldstadt","2015",2.0
"Waldstadt","2016",0.0
"Waldstadt","2017",0.0
"Waldstadt","2018",1.2
"Waldstadt","2019",1.8
"Waldstadt","2020",1.1
"Waldstadt","2021",1.2
"Rintheim","2010",25.5
"Rintheim","2011",29.6
"Rintheim","2012",8.2
"Rintheim","2013",13.7
"Rintheim","2014",10.4
"Rintheim","2015",2.2
"Rintheim","2016",2.0
"Rintheim","2017",0.0
"Rintheim","2018",0.0
"Rintheim","2019",0.0
"Rintheim","2020",2.1
"Rintheim","2021",3.6
"Hagsfeld","2010",18.3
"Hagsfeld","2011",25.6
"Hagsfeld","2012",8.1
"Hagsfeld","2013",12.9
"Hagsfeld","2014",7.4
"Hagsfeld","2015",15.8
"Hagsfeld","2016",0.0
"Hagsfeld","2017",4.0
"Hagsfeld","2018",0.0
"Hagsfeld","2019",0.0
"Hagsfeld","2020",0.0
"Hagsfeld","2021",0.0
"Durlach","2010",20.1
"Durlach","2011",19.2
"Durlach","2012",5.0
"Durlach","2013",8.1
"Durlach","2014",7.0
"Durlach","2015",10.4
"Durlach","2016",8.3
"Durlach","2017",5.7
"Durlach","2018",6.5
"Durlach","2019",5.4
"Durlach","2020",10.5
"Durlach","2021",6.3
"Grötzingen","2010",15.6
"Grötzingen","2011",21.3
"Grötzingen","2012",4.5
"Grötzingen","2013",6.3
"Grötzingen","2014",0.0
"Grötzingen","2015",1.7
"Grötzingen","2016",1.8
"Grötzingen","2017",3.6
"Grötzingen","2018",5.7
"Grötzingen","2019",1.7
"Grötzingen","2020",3.1
"Grötzingen","2021",0.0
"Stupferich","2010",8.0
"Stupferich","2011",5.6
"Stupferich","2012",4.2
"Stupferich","2013",7.1
"Stupferich","2014",20.0
"Stupferich","2015",0.0
"Stupferich","2016",0.0
"Stupferich","2017",5.9
"Stupferich","2018",0.0
"Stupferich","2019",14.3
"Stupferich","2020",0.0
"Stupferich","2021",0.0
"Hohenwettersbach","2010",0.0
"Hohenwettersbach","2011",5.1
"Hohenwettersbach","2012",0.0
"Hohenwettersbach","2013",0.0
"Hohenwettersbach","2014",2.1
"Hohenwettersbach","2015",4.2
"Hohenwettersbach","2016",0.0
"Hohenwettersbach","2017",0.0
"Hohenwettersbach","2018",0.0
"Hohenwettersbach","2019",0.0
"Hohenwettersbach","2020",0.0
"Hohenwettersbach","2021",0.0
"Wolfartsweier","2010",16.7
"Wolfartsweier","2011",3.1
"Wolfartsweier","2012",5.1
"Wolfartsweier","2013",2.3
"Wolfartsweier","2014",8.8
"Wolfartsweier","2015",8.1
"Wolfartsweier","2016",3.1
"Wolfartsweier","2017",0.0
"Wolfartsweier","2018",0.0
"Wolfartsweier","2019",0.0
"Wolfartsweier","2020",0.0
"Wolfartsweier","2021",5.9
"Grünwettersbach","2010",4.9
"Grünwettersbach","2011",3.0
"Grünwettersbach","2012",4.8
"Grünwettersbach","2013",2.2
"Grünwettersbach","2014",11.5
"Grünwettersbach","2015",4.7
"Grünwettersbach","2016",7.1
"Grünwettersbach","2017",2.4
"Grünwettersbach","2018",0.0
"Grünwettersbach","2019",1.7
"Grünwettersbach","2020",2.0
"Grünwettersbach","2021",0.0
"Palmbach","2010",
"Palmbach","2011",
"Palmbach","2012",
"Palmbach","2013",
"Palmbach","2014",
"Palmbach","2015",
"Palmbach","2016",
"Palmbach","2017",
"Palmbach","2018",
"Palmbach","2019",
"Palmbach","2020",
"Palmbach","2021",
"Neureut","2010",21.1
"Neureut","2011",18.9
"Neureut","2012",13.8
"Neureut","2013",4.9
"Neureut","2014",0.9
"Neureut","2015",3.5
"Neureut","2016",2.3
"Neureut","2017",0.9
"Neureut","2018",0.6
"Neureut","2019",4.9
"Neureut","2020",1.3
"Neureut","2021",1.9
"Nordstadt","2010",15.7
"Nordstadt","2011",5.4
"Nordstadt","2012",10.3
"Nordstadt","2013",10.2
"Nordstadt","2014",5.1
"Nordstadt","2015",7.1
"Nordstadt","2016",1.8
"Nordstadt","2017",3.3
"Nordstadt","2018",4.6
"Nordstadt","2019",4.8
"Nordstadt","2020",10.0
"Nordstadt","2021",2.6