"Stadtteil","Jahr","Migrant/-innen %","Deutsche mit Migrationshintergrund (%)","Ausländer/-innen (%)"
"Innenstadt-Ost","2007",43.8,14.6,29.2
"Innenstadt-Ost","2008",43.5,14.8,28.6
"Innenstadt-Ost","2009",43.2,15.3,27.8
"Innenstadt-Ost","2010",43.9,15.6,28.3
"Innenstadt-Ost","2011",44.3,15.1,29.2
"Innenstadt-Ost","2012",45.4,14.7,30.8
"Innenstadt-Ost","2013",46.4,14.4,32.0
"Innenstadt-Ost","2014",47.7,14.2,33.5
"Innenstadt-Ost","2015",47.6,14.3,33.3
"Innenstadt-Ost","2016",46.4,14.4,32.0
"Innenstadt-Ost","2017",46.9,14.0,32.9
"Innenstadt-Ost","2018",47.6,14.1,33.6
"Innenstadt-Ost","2019",47.7,14.0,33.7
"Innenstadt-Ost","2020",47.8,14.3,33.5
"Innenstadt-Ost","2021",48.3,14.3,33.9
"Innenstadt-West","2007",33.9,7.0,26.9
"Innenstadt-West","2008",32.9,7.1,25.8
"Innenstadt-West","2009",32.8,7.8,25.0
"Innenstadt-West","2010",33.5,7.8,25.8
"Innenstadt-West","2011",34.5,8.2,26.3
"Innenstadt-West","2012",35.0,7.8,27.2
"Innenstadt-West","2013",35.8,7.8,28.0
"Innenstadt-West","2014",36.2,7.6,28.6
"Innenstadt-West","2015",36.7,7.8,28.9
"Innenstadt-West","2016",37.2,8.1,29.1
"Innenstadt-West","2017",37.4,8.1,29.3
"Innenstadt-West","2018",38.0,8.3,29.7
"Innenstadt-West","2019",37.6,8.6,29.0
"Innenstadt-West","2020",36.1,9.4,26.7
"Innenstadt-West","2021",36.7,9.9,26.8
"Südstadt","2007",38.3,10.6,27.7
"Südstadt","2008",37.2,10.9,26.3
"Südstadt","2009",36.7,10.9,25.8
"Südstadt","2010",36.7,10.8,25.9
"Südstadt","2011",36.7,10.8,25.9
"Südstadt","2012",36.9,10.8,26.1
"Südstadt","2013",37.3,10.7,26.6
"Südstadt","2014",37.8,10.6,27.2
"Südstadt","2015",37.7,10.8,26.9
"Südstadt","2016",37.6,10.7,26.9
"Südstadt","2017",37.8,11.0,26.8
"Südstadt","2018",37.8,11.0,26.8
"Südstadt","2019",37.4,11.2,26.1
"Südstadt","2020",36.8,11.4,25.4
"Südstadt","2021",37.1,11.9,25.2
"Südweststadt","2007",22.7,8.2,14.5
"Südweststadt","2008",22.5,8.2,14.3
"Südweststadt","2009",22.3,8.3,14.1
"Südweststadt","2010",23.0,8.4,14.5
"Südweststadt","2011",23.3,8.6,14.7
"Südweststadt","2012",23.8,8.7,15.1
"Südweststadt","2013",25.0,8.8,16.2
"Südweststadt","2014",25.6,8.9,16.7
"Südweststadt","2015",25.8,8.9,16.9
"Südweststadt","2016",26.1,8.9,17.2
"Südweststadt","2017",26.6,9.2,17.4
"Südweststadt","2018",26.9,9.2,17.7
"Südweststadt","2019",27.0,9.5,17.6
"Südweststadt","2020",27.8,9.8,18.0
"Südweststadt","2021",27.9,9.9,18.0
"Weststadt","2007",27.0,8.6,18.4
"Weststadt","2008",27.0,8.7,18.3
"Weststadt","2009",26.7,8.8,17.9
"Weststadt","2010",27.1,9.0,18.1
"Weststadt","2011",28.0,8.8,19.2
"Weststadt","2012",28.0,8.9,19.2
"Weststadt","2013",28.4,9.0,19.4
"Weststadt","2014",29.2,9.1,20.2
"Weststadt","2015",29.6,9.1,20.5
"Weststadt","2016",30.1,9.3,20.8
"Weststadt","2017",30.6,9.4,21.2
"Weststadt","2018",31.2,9.6,21.6
"Weststadt","2019",30.8,10.1,20.7
"Weststadt","2020",30.8,10.3,20.5
"Weststadt","2021",31.0,10.6,20.4
"Nordweststadt","2007",22.5,10.8,11.7
"Nordweststadt","2008",22.9,10.9,12.0
"Nordweststadt","2009",23.3,11.3,12.0
"Nordweststadt","2010",23.9,11.7,12.2
"Nordweststadt","2011",24.8,11.8,13.0
"Nordweststadt","2012",26.2,12.1,14.0
"Nordweststadt","2013",27.4,12.0,15.4
"Nordweststadt","2014",29.2,11.9,17.3
"Nordweststadt","2015",31.3,11.9,19.4
"Nordweststadt","2016",31.9,12.0,19.9
"Nordweststadt","2017",30.4,12.1,18.3
"Nordweststadt","2018",31.4,12.3,19.1
"Nordweststadt","2019",31.8,12.9,18.9
"Nordweststadt","2020",31.8,13.1,18.8
"Nordweststadt","2021",33.3,13.5,19.8
"Oststadt","2007",35.0,8.5,26.4
"Oststadt","2008",32.8,8.9,23.9
"Oststadt","2009",32.5,9.1,23.4
"Oststadt","2010",33.9,9.0,24.9
"Oststadt","2011",33.8,9.2,24.6
"Oststadt","2012",36.5,8.8,27.7
"Oststadt","2013",38.5,8.6,29.9
"Oststadt","2014",48.3,7.2,41.1
"Oststadt","2015",57.7,5.9,51.8
"Oststadt","2016",43.7,7.9,35.7
"Oststadt","2017",40.3,8.4,31.9
"Oststadt","2018",37.7,9.0,28.7
"Oststadt","2019",36.2,9.6,26.6
"Oststadt","2020",34.1,10.0,24.1
"Oststadt","2021",34.2,10.5,23.7
"Mühlburg","2007",29.9,11.5,18.4
"Mühlburg","2008",30.1,11.8,18.3
"Mühlburg","2009",30.8,11.9,18.9
"Mühlburg","2010",31.2,12.0,19.3
"Mühlburg","2011",31.8,12.0,19.9
"Mühlburg","2012",33.3,12.0,21.3
"Mühlburg","2013",34.0,12.3,21.7
"Mühlburg","2014",34.9,12.3,22.6
"Mühlburg","2015",35.9,12.4,23.5
"Mühlburg","2016",37.3,12.2,25.1
"Mühlburg","2017",38.2,12.1,26.1
"Mühlburg","2018",38.0,12.2,25.8
"Mühlburg","2019",37.6,12.5,25.1
"Mühlburg","2020",37.9,12.8,25.1
"Mühlburg","2021",38.4,13.0,25.4
"Daxlanden","2007",17.6,9.3,8.3
"Daxlanden","2008",17.7,9.7,8.0
"Daxlanden","2009",17.6,9.8,7.9
"Daxlanden","2010",18.0,10.0,8.0
"Daxlanden","2011",18.7,10.0,8.6
"Daxlanden","2012",19.3,10.2,9.1
"Daxlanden","2013",19.7,10.4,9.3
"Daxlanden","2014",19.8,10.4,9.5
"Daxlanden","2015",20.6,10.5,10.1
"Daxlanden","2016",21.2,10.5,10.7
"Daxlanden","2017",21.8,10.8,11.0
"Daxlanden","2018",22.5,10.9,11.5
"Daxlanden","2019",22.9,11.0,11.8
"Daxlanden","2020",22.5,11.3,11.2
"Daxlanden","2021",23.1,11.4,11.7
"Knielingen","2007",20.1,8.0,12.0
"Knielingen","2008",20.0,8.2,11.8
"Knielingen","2009",20.1,8.2,11.9
"Knielingen","2010",20.4,8.2,12.2
"Knielingen","2011",21.8,8.5,13.2
"Knielingen","2012",22.6,8.5,14.1
"Knielingen","2013",23.3,8.7,14.6
"Knielingen","2014",24.6,9.1,15.5
"Knielingen","2015",25.9,9.1,16.8
"Knielingen","2016",26.8,9.7,17.2
"Knielingen","2017",27.5,9.9,17.6
"Knielingen","2018",28.6,10.5,18.2
"Knielingen","2019",28.9,10.4,18.5
"Knielingen","2020",28.9,10.9,18.1
"Knielingen","2021",29.6,11.0,18.5
"Grünwinkel","2007",21.6,9.8,11.8
"Grünwinkel","2008",22.2,9.7,12.5
"Grünwinkel","2009",21.3,9.7,11.6
"Grünwinkel","2010",21.8,9.8,12.0
"Grünwinkel","2011",21.8,9.9,11.9
"Grünwinkel","2012",23.5,9.8,13.6
"Grünwinkel","2013",24.3,9.9,14.4
"Grünwinkel","2014",25.4,9.8,15.5
"Grünwinkel","2015",26.4,10.1,16.3
"Grünwinkel","2016",27.3,10.0,17.3
"Grünwinkel","2017",29.3,10.0,19.3
"Grünwinkel","2018",31.5,10.1,21.5
"Grünwinkel","2019",30.8,10.3,20.6
"Grünwinkel","2020",29.1,11.0,18.1
"Grünwinkel","2021",29.9,11.2,18.7
"Oberreut","2007",36.5,23.1,13.4
"Oberreut","2008",36.8,23.1,13.6
"Oberreut","2009",37.3,23.4,13.9
"Oberreut","2010",37.3,23.6,13.7
"Oberreut","2011",37.4,23.7,13.7
"Oberreut","2012",37.5,23.3,14.2
"Oberreut","2013",37.8,23.4,14.4
"Oberreut","2014",38.3,23.3,15.0
"Oberreut","2015",39.2,23.5,15.8
"Oberreut","2016",39.2,23.1,16.2
"Oberreut","2017",39.7,22.9,16.7
"Oberreut","2018",40.6,22.9,17.7
"Oberreut","2019",41.9,22.6,19.3
"Oberreut","2020",42.3,22.7,19.6
"Oberreut","2021",42.9,22.8,20.1
"Beiertheim-Bulach","2007",16.0,5.8,10.2
"Beiertheim-Bulach","2008",16.0,6.0,10.0
"Beiertheim-Bulach","2009",15.6,6.4,9.2
"Beiertheim-Bulach","2010",15.4,6.4,9.0
"Beiertheim-Bulach","2011",15.4,6.5,8.9
"Beiertheim-Bulach","2012",16.2,6.7,9.5
"Beiertheim-Bulach","2013",17.1,6.8,10.3
"Beiertheim-Bulach","2014",17.8,6.9,10.9
"Beiertheim-Bulach","2015",18.2,6.8,11.3
"Beiertheim-Bulach","2016",18.9,7.0,12.0
"Beiertheim-Bulach","2017",19.5,7.2,12.3
"Beiertheim-Bulach","2018",20.4,7.2,13.2
"Beiertheim-Bulach","2019",20.7,7.3,13.4
"Beiertheim-Bulach","2020",20.8,7.5,13.3
"Beiertheim-Bulach","2021",20.3,7.5,12.7
"Weiherfeld-Dammerstock","2007",13.4,6.2,7.2
"Weiherfeld-Dammerstock","2008",13.5,6.4,7.1
"Weiherfeld-Dammerstock","2009",13.8,6.4,7.4
"Weiherfeld-Dammerstock","2010",14.2,6.3,7.9
"Weiherfeld-Dammerstock","2011",14.5,6.2,8.2
"Weiherfeld-Dammerstock","2012",14.6,6.3,8.3
"Weiherfeld-Dammerstock","2013",15.0,6.6,8.4
"Weiherfeld-Dammerstock","2014",15.7,6.8,8.9
"Weiherfeld-Dammerstock","2015",16.8,7.0,9.8
"Weiherfeld-Dammerstock","2016",17.2,6.9,10.3
"Weiherfeld-Dammerstock","2017",17.2,7.0,10.2
"Weiherfeld-Dammerstock","2018",17.3,7.3,10.0
"Weiherfeld-Dammerstock","2019",17.8,7.7,10.1
"Weiherfeld-Dammerstock","2020",17.4,7.7,9.8
"Weiherfeld-Dammerstock","2021",17.8,8.1,9.7
"Rüppurr","2007",10.0,4.4,5.5
"Rüppurr","2008",10.5,4.9,5.6
"Rüppurr","2009",10.5,5.0,5.5
"Rüppurr","2010",11.0,5.2,5.8
"Rüppurr","2011",11.6,5.4,6.1
"Rüppurr","2012",11.9,5.5,6.4
"Rüppurr","2013",12.3,5.6,6.7
"Rüppurr","2014",12.7,5.6,7.1
"Rüppurr","2015",13.4,5.7,7.7
"Rüppurr","2016",13.8,5.8,8.0
"Rüppurr","2017",14.8,6.2,8.6
"Rüppurr","2018",15.0,6.4,8.6
"Rüppurr","2019",15.4,6.6,8.8
"Rüppurr","2020",16.0,6.7,9.3
"Rüppurr","2021",16.7,7.0,9.7
"Waldstadt","2007",25.0,13.0,12.1
"Waldstadt","2008",25.6,13.1,12.6
"Waldstadt","2009",26.4,13.5,12.9
"Waldstadt","2010",26.8,13.7,13.1
"Waldstadt","2011",27.3,13.5,13.8
"Waldstadt","2012",27.9,13.6,14.3
"Waldstadt","2013",28.5,14.0,14.5
"Waldstadt","2014",29.2,13.9,15.3
"Waldstadt","2015",30.1,14.0,16.1
"Waldstadt","2016",30.9,13.9,16.9
"Waldstadt","2017",31.7,13.7,18.0
"Waldstadt","2018",32.7,13.8,18.9
"Waldstadt","2019",32.9,14.2,18.6
"Waldstadt","2020",32.7,14.2,18.5
"Waldstadt","2021",33.8,14.4,19.4
"Rintheim","2007",26.3,14.1,12.2
"Rintheim","2008",26.5,14.3,12.3
"Rintheim","2009",26.1,13.9,12.2
"Rintheim","2010",27.1,14.3,12.8
"Rintheim","2011",27.8,14.5,13.3
"Rintheim","2012",28.6,14.4,14.2
"Rintheim","2013",29.3,14.7,14.5
"Rintheim","2014",30.2,14.6,15.6
"Rintheim","2015",32.3,14.5,17.8
"Rintheim","2016",33.9,14.7,19.2
"Rintheim","2017",35.7,15.0,20.7
"Rintheim","2018",36.6,15.2,21.5
"Rintheim","2019",37.3,15.6,21.8
"Rintheim","2020",37.3,15.8,21.6
"Rintheim","2021",37.7,16.1,21.6
"Hagsfeld","2007",25.8,14.6,11.3
"Hagsfeld","2008",25.7,14.3,11.4
"Hagsfeld","2009",25.2,14.3,10.9
"Hagsfeld","2010",25.4,14.0,11.4
"Hagsfeld","2011",25.9,14.3,11.7
"Hagsfeld","2012",25.9,14.1,11.8
"Hagsfeld","2013",26.3,13.9,12.4
"Hagsfeld","2014",26.9,13.7,13.2
"Hagsfeld","2015",27.7,13.6,14.1
"Hagsfeld","2016",28.3,13.4,14.9
"Hagsfeld","2017",29.3,13.1,16.2
"Hagsfeld","2018",29.6,12.9,16.7
"Hagsfeld","2019",30.3,13.1,17.1
"Hagsfeld","2020",30.4,13.3,17.0
"Hagsfeld","2021",30.6,13.3,17.3
"Durlach","2007",22.4,8.7,13.7
"Durlach","2008",22.4,8.9,13.6
"Durlach","2009",22.4,8.9,13.5
"Durlach","2010",22.5,9.0,13.5
"Durlach","2011",23.1,9.0,14.1
"Durlach","2012",23.7,9.1,14.7
"Durlach","2013",24.5,9.4,15.1
"Durlach","2014",25.2,9.4,15.8
"Durlach","2015",26.0,9.6,16.4
"Durlach","2016",26.9,9.8,17.1
"Durlach","2017",27.3,9.8,17.5
"Durlach","2018",27.8,10.0,17.9
"Durlach","2019",28.2,10.1,18.2
"Durlach","2020",28.6,10.3,18.3
"Durlach","2021",29.3,10.6,18.7
"Grötzingen","2007",14.1,6.0,8.1
"Grötzingen","2008",14.3,6.2,8.0
"Grötzingen","2009",14.5,6.4,8.1
"Grötzingen","2010",15.0,6.6,8.4
"Grötzingen","2011",15.5,6.6,8.9
"Grötzingen","2012",16.1,6.7,9.5
"Grötzingen","2013",16.6,6.8,9.8
"Grötzingen","2014",17.4,6.9,10.4
"Grötzingen","2015",18.5,7.4,11.1
"Grötzingen","2016",19.9,7.4,12.5
"Grötzingen","2017",20.3,7.7,12.6
"Grötzingen","2018",20.9,7.8,13.1
"Grötzingen","2019",20.9,7.8,13.0
"Grötzingen","2020",21.5,7.9,13.6
"Grötzingen","2021",22.1,8.1,14.0
"Stupferich","2007",6.3,2.4,4.0
"Stupferich","2008",6.6,2.5,4.1
"Stupferich","2009",6.6,2.6,4.0
"Stupferich","2010",6.5,2.8,3.7
"Stupferich","2011",7.0,2.9,4.1
"Stupferich","2012",7.6,3.0,4.5
"Stupferich","2013",8.5,3.0,5.5
"Stupferich","2014",8.6,3.1,5.5
"Stupferich","2015",10.5,3.5,7.0
"Stupferich","2016",11.4,3.8,7.6
"Stupferich","2017",12.3,4.1,8.2
"Stupferich","2018",13.3,4.5,8.8
"Stupferich","2019",13.5,5.0,8.5
"Stupferich","2020",14.7,5.4,9.3
"Stupferich","2021",15.1,5.8,9.2
"Hohenwettersbach","2007",7.9,3.4,4.5
"Hohenwettersbach","2008",8.5,4.0,4.5
"Hohenwettersbach","2009",8.5,3.9,4.5
"Hohenwettersbach","2010",8.3,3.9,4.4
"Hohenwettersbach","2011",8.6,3.9,4.7
"Hohenwettersbach","2012",8.8,4.0,4.8
"Hohenwettersbach","2013",9.2,4.4,4.8
"Hohenwettersbach","2014",10.0,4.4,5.6
"Hohenwettersbach","2015",10.0,4.7,5.3
"Hohenwettersbach","2016",11.0,5.1,6.0
"Hohenwettersbach","2017",11.5,5.4,6.1
"Hohenwettersbach","2018",11.5,5.3,6.2
"Hohenwettersbach","2019",11.7,5.5,6.2
"Hohenwettersbach","2020",12.7,5.8,6.9
"Hohenwettersbach","2021",12.7,5.8,6.9
"Wolfartsweier","2007",12.0,5.1,6.8
"Wolfartsweier","2008",11.8,5.4,6.4
"Wolfartsweier","2009",11.7,5.3,6.4
"Wolfartsweier","2010",11.9,5.7,6.3
"Wolfartsweier","2011",12.2,5.3,6.9
"Wolfartsweier","2012",12.7,5.7,7.0
"Wolfartsweier","2013",12.7,5.7,7.1
"Wolfartsweier","2014",14.0,5.7,8.3
"Wolfartsweier","2015",15.8,6.0,9.7
"Wolfartsweier","2016",15.9,6.1,9.9
"Wolfartsweier","2017",17.2,6.3,10.9
"Wolfartsweier","2018",18.1,6.8,11.3
"Wolfartsweier","2019",18.1,6.7,11.3
"Wolfartsweier","2020",18.2,7.0,11.2
"Wolfartsweier","2021",19.0,7.4,11.6
"Grünwettersbach","2007",6.9,3.1,3.9
"Grünwettersbach","2008",6.7,3.0,3.6
"Grünwettersbach","2009",6.9,3.1,3.8
"Grünwettersbach","2010",7.2,3.3,4.0
"Grünwettersbach","2011",7.8,3.5,4.3
"Grünwettersbach","2012",8.4,3.6,4.7
"Grünwettersbach","2013",8.4,3.8,4.6
"Grünwettersbach","2014",9.6,4.0,5.6
"Grünwettersbach","2015",10.8,4.5,6.4
"Grünwettersbach","2016",12.0,4.5,7.4
"Grünwettersbach","2017",12.1,4.5,7.6
"Grünwettersbach","2018",12.4,4.9,7.5
"Grünwettersbach","2019",12.9,5.2,7.7
"Grünwettersbach","2020",13.6,5.6,8.1
"Grünwettersbach","2021",14.5,5.7,8.8
"Palmbach","2007",6.1,2.4,3.7
"Palmbach","2008",6.7,2.2,4.5
"Palmbach","2009",7.5,2.4,5.1
"Palmbach","2010",8.4,2.8,5.6
"Palmbach","2011",8.6,2.8,5.8
"Palmbach","2012",9.8,3.4,6.3
"Palmbach","2013",9.9,4.1,5.8
"Palmbach","2014",10.1,4.8,5.3
"Palmbach","2015",10.9,5.1,5.9
"Palmbach","2016",12.2,4.9,7.3
"Palmbach","2017",13.6,5.3,8.3
"Palmbach","2018",13.8,5.4,8.4
"Palmbach","2019",14.2,5.7,8.5
"Palmbach","2020",14.9,6.4,8.6
"Palmbach","2021",14.5,6.2,8.2
"Neureut","2007",18.2,9.2,9.0
"Neureut","2008",18.3,9.3,9.0
"Neureut","2009",18.5,9.4,9.1
"Neureut","2010",19.2,9.6,9.6
"Neureut","2011",19.9,9.8,10.1
"Neureut","2012",20.6,10.0,10.6
"Neureut","2013",20.9,10.3,10.7
"Neureut","2014",21.5,10.3,11.1
"Neureut","2015",22.2,10.6,11.7
"Neureut","2016",23.4,10.7,12.7
"Neureut","2017",24.0,10.7,13.4
"Neureut","2018",24.5,10.7,13.8
"Neureut","2019",25.0,10.9,14.1
"Neureut","2020",25.4,11.1,14.3
"Neureut","2021",26.2,11.3,14.8
"Nordstadt","2007",26.6,14.9,11.7
"Nordstadt","2008",26.0,15.0,11.0
"Nordstadt","2009",26.6,15.3,11.3
"Nordstadt","2010",27.3,15.4,11.9
"Nordstadt","2011",28.1,15.5,12.6
"Nordstadt","2012",28.5,16.1,12.4
"Nordstadt","2013",29.0,16.2,12.8
"Nordstadt","2014",29.7,16.3,13.4
"Nordstadt","2015",30.2,16.5,13.7
"Nordstadt","2016",30.8,16.6,14.3
"Nordstadt","2017",31.2,16.7,14.5
"Nordstadt","2018",32.1,16.6,15.4
"Nordstadt","2019",31.8,16.6,15.2
"Nordstadt","2020",31.6,16.6,15.0
"Nordstadt","2021",32.2,16.7,15.4