"Stadtteil","Jahr","Wiederholer/ Sonstige %"
"Innenstadt-Ost","2010",0.0
"Innenstadt-Ost","2011",0.0
"Innenstadt-Ost","2012",0.0
"Innenstadt-Ost","2013",0.0
"Innenstadt-Ost","2014",4.8
"Innenstadt-Ost","2015",23.9
"Innenstadt-Ost","2016",1.8
"Innenstadt-Ost","2017",2.3
"Innenstadt-Ost","2018",8.3
"Innenstadt-Ost","2019",7.8
"Innenstadt-Ost","2020",4.1
"Innenstadt-Ost","2021",2.4
"Innenstadt-West","2010",0.0
"Innenstadt-West","2011",0.0
"Innenstadt-West","2012",1.2
"Innenstadt-West","2013",1.1
"Innenstadt-West","2014",0.0
"Innenstadt-West","2015",0.0
"Innenstadt-West","2016",0.0
"Innenstadt-West","2017",0.0
"Innenstadt-West","2018",0.0
"Innenstadt-West","2019",0.0
"Innenstadt-West","2020",0.0
"Innenstadt-West","2021",0.0
"Südstadt","2010",0.0
"Südstadt","2011",0.0
"Südstadt","2012",0.0
"Südstadt","2013",0.0
"Südstadt","2014",0.0
"Südstadt","2015",0.0
"Südstadt","2016",0.0
"Südstadt","2017",0.0
"Südstadt","2018",0.0
"Südstadt","2019",0.0
"Südstadt","2020",1.2
"Südstadt","2021",1.4
"Südweststadt","2010",0.0
"Südweststadt","2011",0.0
"Südweststadt","2012",2.0
"Südweststadt","2013",1.0
"Südweststadt","2014",1.5
"Südweststadt","2015",1.9
"Südweststadt","2016",0.6
"Südweststadt","2017",0.0
"Südweststadt","2018",0.5
"Südweststadt","2019",0.0
"Südweststadt","2020",1.0
"Südweststadt","2021",0.5
"Weststadt","2010",6.1
"Weststadt","2011",0.0
"Weststadt","2012",2.9
"Weststadt","2013",0.0
"Weststadt","2014",0.0
"Weststadt","2015",0.0
"Weststadt","2016",2.6
"Weststadt","2017",0.0
"Weststadt","2018",0.0
"Weststadt","2019",0.0
"Weststadt","2020",0.0
"Weststadt","2021",0.0
"Nordweststadt","2010",0.0
"Nordweststadt","2011",0.0
"Nordweststadt","2012",0.0
"Nordweststadt","2013",1.0
"Nordweststadt","2014",0.0
"Nordweststadt","2015",0.0
"Nordweststadt","2016",0.0
"Nordweststadt","2017",1.1
"Nordweststadt","2018",1.1
"Nordweststadt","2019",0.0
"Nordweststadt","2020",1.0
"Nordweststadt","2021",0.0
"Oststadt","2010",1.4
"Oststadt","2011",0.0
"Oststadt","2012",1.4
"Oststadt","2013",1.6
"Oststadt","2014",0.0
"Oststadt","2015",0.0
"Oststadt","2016",0.0
"Oststadt","2017",1.5
"Oststadt","2018",2.7
"Oststadt","2019",0.0
"Oststadt","2020",1.3
"Oststadt","2021",2.5
"Mühlburg","2010",0.0
"Mühlburg","2011",1.8
"Mühlburg","2012",0.0
"Mühlburg","2013",3.7
"Mühlburg","2014",0.0
"Mühlburg","2015",0.9
"Mühlburg","2016",2.0
"Mühlburg","2017",0.0
"Mühlburg","2018",1.8
"Mühlburg","2019",0.0
"Mühlburg","2020",0.0
"Mühlburg","2021",1.0
"Daxlanden","2010",0.0
"Daxlanden","2011",2.2
"Daxlanden","2012",0.0
"Daxlanden","2013",2.3
"Daxlanden","2014",1.7
"Daxlanden","2015",0.0
"Daxlanden","2016",3.6
"Daxlanden","2017",1.5
"Daxlanden","2018",0.0
"Daxlanden","2019",0.0
"Daxlanden","2020",2.5
"Daxlanden","2021",3.6
"Knielingen","2010",17.1
"Knielingen","2011",32.8
"Knielingen","2012",0.0
"Knielingen","2013",11.9
"Knielingen","2014",7.9
"Knielingen","2015",12.0
"Knielingen","2016",0.0
"Knielingen","2017",1.5
"Knielingen","2018",4.3
"Knielingen","2019",0.0
"Knielingen","2020",0.0
"Knielingen","2021",1.3
"Grünwinkel","2010",1.7
"Grünwinkel","2011",0.0
"Grünwinkel","2012",0.0
"Grünwinkel","2013",0.0
"Grünwinkel","2014",0.0
"Grünwinkel","2015",0.0
"Grünwinkel","2016",0.0
"Grünwinkel","2017",0.0
"Grünwinkel","2018",0.0
"Grünwinkel","2019",0.0
"Grünwinkel","2020",0.0
"Grünwinkel","2021",0.0
"Oberreut","2010",0.0
"Oberreut","2011",0.0
"Oberreut","2012",0.0
"Oberreut","2013",2.4
"Oberreut","2014",0.0
"Oberreut","2015",0.0
"Oberreut","2016",1.4
"Oberreut","2017",1.1
"Oberreut","2018",1.2
"Oberreut","2019",3.7
"Oberreut","2020",0.0
"Oberreut","2021",0.0
"Beiertheim-Bulach","2010",0.0
"Beiertheim-Bulach","2011",0.0
"Beiertheim-Bulach","2012",0.0
"Beiertheim-Bulach","2013",1.6
"Beiertheim-Bulach","2014",0.0
"Beiertheim-Bulach","2015",0.0
"Beiertheim-Bulach","2016",2.1
"Beiertheim-Bulach","2017",0.0
"Beiertheim-Bulach","2018",0.0
"Beiertheim-Bulach","2019",0.0
"Beiertheim-Bulach","2020",0.0
"Beiertheim-Bulach","2021",2.0
"Weiherfeld-Dammerstock","2010",0.0
"Weiherfeld-Dammerstock","2011",0.0
"Weiherfeld-Dammerstock","2012",0.0
"Weiherfeld-Dammerstock","2013",0.0
"Weiherfeld-Dammerstock","2014",0.0
"Weiherfeld-Dammerstock","2015",2.2
"Weiherfeld-Dammerstock","2016",1.9
"Weiherfeld-Dammerstock","2017",0.0
"Weiherfeld-Dammerstock","2018",0.0
"Weiherfeld-Dammerstock","2019",0.0
"Weiherfeld-Dammerstock","2020",2.4
"Weiherfeld-Dammerstock","2021",0.0
"Rüppurr","2010",0.0
"Rüppurr","2011",0.0
"Rüppurr","2012",0.0
"Rüppurr","2013",2.3
"Rüppurr","2014",0.0
"Rüppurr","2015",0.0
"Rüppurr","2016",0.0
"Rüppurr","2017",0.0
"Rüppurr","2018",0.0
"Rüppurr","2019",0.0
"Rüppurr","2020",0.0
"Rüppurr","2021",0.0
"Waldstadt","2010",1.1
"Waldstadt","2011",0.0
"Waldstadt","2012",0.0
"Waldstadt","2013",2.8
"Waldstadt","2014",0.0
"Waldstadt","2015",1.0
"Waldstadt","2016",0.0
"Waldstadt","2017",1.2
"Waldstadt","2018",0.0
"Waldstadt","2019",0.9
"Waldstadt","2020",0.0
"Waldstadt","2021",3.7
"Rintheim","2010",2.0
"Rintheim","2011",0.0
"Rintheim","2012",0.0
"Rintheim","2013",0.0
"Rintheim","2014",0.0
"Rintheim","2015",2.2
"Rintheim","2016",2.0
"Rintheim","2017",0.0
"Rintheim","2018",0.0
"Rintheim","2019",0.0
"Rintheim","2020",2.1
"Rintheim","2021",0.0
"Hagsfeld","2010",0.0
"Hagsfeld","2011",0.0
"Hagsfeld","2012",2.7
"Hagsfeld","2013",0.0
"Hagsfeld","2014",0.0
"Hagsfeld","2015",0.0
"Hagsfeld","2016",3.1
"Hagsfeld","2017",8.0
"Hagsfeld","2018",3.2
"Hagsfeld","2019",0.0
"Hagsfeld","2020",0.0
"Hagsfeld","2021",0.0
"Durlach","2010",0.0
"Durlach","2011",1.4
"Durlach","2012",2.7
"Durlach","2013",0.0
"Durlach","2014",1.3
"Durlach","2015",0.4
"Durlach","2016",1.0
"Durlach","2017",2.2
"Durlach","2018",0.5
"Durlach","2019",0.0
"Durlach","2020",0.0
"Durlach","2021",1.8
"Grötzingen","2010",0.0
"Grötzingen","2011",0.0
"Grötzingen","2012",0.0
"Grötzingen","2013",0.0
"Grötzingen","2014",1.6
"Grötzingen","2015",0.0
"Grötzingen","2016",1.8
"Grötzingen","2017",1.8
"Grötzingen","2018",2.9
"Grötzingen","2019",1.7
"Grötzingen","2020",0.0
"Grötzingen","2021",0.0
"Stupferich","2010",0.0
"Stupferich","2011",0.0
"Stupferich","2012",0.0
"Stupferich","2013",0.0
"Stupferich","2014",0.0
"Stupferich","2015",0.0
"Stupferich","2016",0.0
"Stupferich","2017",0.0
"Stupferich","2018",0.0
"Stupferich","2019",0.0
"Stupferich","2020",0.0
"Stupferich","2021",0.0
"Hohenwettersbach","2010",0.0
"Hohenwettersbach","2011",0.0
"Hohenwettersbach","2012",5.1
"Hohenwettersbach","2013",2.6
"Hohenwettersbach","2014",2.1
"Hohenwettersbach","2015",2.1
"Hohenwettersbach","2016",5.9
"Hohenwettersbach","2017",2.3
"Hohenwettersbach","2018",2.4
"Hohenwettersbach","2019",0.0
"Hohenwettersbach","2020",0.0
"Hohenwettersbach","2021",0.0
"Wolfartsweier","2010",0.0
"Wolfartsweier","2011",0.0
"Wolfartsweier","2012",0.0
"Wolfartsweier","2013",0.0
"Wolfartsweier","2014",0.0
"Wolfartsweier","2015",0.0
"Wolfartsweier","2016",6.3
"Wolfartsweier","2017",0.0
"Wolfartsweier","2018",3.3
"Wolfartsweier","2019",0.0
"Wolfartsweier","2020",0.0
"Wolfartsweier","2021",0.0
"Grünwettersbach","2010",0.0
"Grünwettersbach","2011",0.0
"Grünwettersbach","2012",0.0
"Grünwettersbach","2013",0.0
"Grünwettersbach","2014",0.0
"Grünwettersbach","2015",0.0
"Grünwettersbach","2016",0.0
"Grünwettersbach","2017",0.0
"Grünwettersbach","2018",0.0
"Grünwettersbach","2019",0.0
"Grünwettersbach","2020",0.0
"Grünwettersbach","2021",0.0
"Palmbach","2010",
"Palmbach","2011",
"Palmbach","2012",
"Palmbach","2013",
"Palmbach","2014",
"Palmbach","2015",
"Palmbach","2016",
"Palmbach","2017",
"Palmbach","2018",
"Palmbach","2019",
"Palmbach","2020",
"Palmbach","2021",
"Neureut","2010",0.7
"Neureut","2011",0.0
"Neureut","2012",0.0
"Neureut","2013",1.9
"Neureut","2014",0.0
"Neureut","2015",0.7
"Neureut","2016",0.0
"Neureut","2017",0.9
"Neureut","2018",0.6
"Neureut","2019",0.7
"Neureut","2020",0.0
"Neureut","2021",1.9
"Nordstadt","2010",1.7
"Nordstadt","2011",0.9
"Nordstadt","2012",1.7
"Nordstadt","2013",3.9
"Nordstadt","2014",0.0
"Nordstadt","2015",2.7
"Nordstadt","2016",9.2
"Nordstadt","2017",2.2
"Nordstadt","2018",0.0
"Nordstadt","2019",8.3
"Nordstadt","2020",2.2
"Nordstadt","2021",0.0